Description,Revenue,Revenue %,Cumulative %,ABC
REGENCY CAKESTAND 3 TIER,169912.75999999998,1.726179148273935,1.726179148273935,A
WHITE HANGING HEART T-LIGHT HOLDER,160345.63,1.628984680272674,3.355163828546609,A
ASSORTED COLOUR BIRD ORNAMENT,72890.19,0.7405066346501895,4.095670463196798,A
PAPER CHAIN KIT 50'S CHRISTMAS ,58127.3,0.5905273577185347,4.686197820915333,A
JUMBO BAG RED RETROSPOT,56480.46,0.5737967668638899,5.259994587779223,A
PARTY BUNTING,49664.12,0.5045481478929218,5.764542735672145,A
ROTATING SILVER ANGELS T-LIGHT HLDR,47954.49,0.48717966033928795,6.2517223960114325,A
EDWARDIAN PARASOL NATURAL,36925.26,0.37513141365365155,6.626853809665084,A
JUMBO BAG STRAWBERRY,36732.16,0.3731696705006847,7.000023480165769,A
VINTAGE UNION JACK BUNTING,36023.71,0.36597237926961607,7.365995859435385,A
STRAWBERRY CERAMIC TRINKET BOX,34411.68,0.3495954304613451,7.7155912898967305,A
EDWARDIAN PARASOL BLACK,32495.99,0.3301335364131471,8.045724826309877,A
JUMBO  BAG BAROQUE BLACK WHITE,32140.99,0.32652701741105894,8.372251843720937,A
JUMBO STORAGE BAG SUKI,31493.71,0.3199511649612797,8.692203008682217,A
CREAM HEART CARD HOLDER,31111.56,0.3160688234495952,9.008271832131811,A
CHILLI LIGHTS,31061.2,0.3155572057117215,9.323829037843533,A
HOME BUILDING BLOCK WORD,30851.27,0.3134244830804303,9.637253520923963,A
HOT WATER BOTTLE TEA AND SYMPATHY,30388.910000000003,0.30872727145844303,9.945980792382406,A
LUNCH BAG RED SPOTTY,29773.27,0.30247285636423016,10.248453648746636,A
JUMBO SHOPPER VINTAGE RED PAISLEY,29572.25,0.30043065228028715,10.548884301026924,A
VINTAGE UNION JACK MEMOBOARD,29102.69,0.2956602943574125,10.844544595384336,A
PAPER CHAIN KIT VINTAGE CHRISTMAS,28828.0,0.29286966138647275,11.137414256770809,A
SET/5 RED SPOTTY LID GLASS BOWLS,28734.120000000003,0.29191591489656843,11.429330171667377,A
BLACK RECORD COVER FRAME,28662.34,0.29118668691355465,11.720516858580933,A
RED RETROSPOT CAKE STAND,28640.239999999998,0.29096216840666406,12.011479026987596,A
RED HANGING HEART T-LIGHT HOLDER,28242.68,0.28692327349266356,12.298402300480259,A
CHOCOLATE HOT WATER BOTTLE,27817.74,0.2826062194511218,12.58100851993138,A
SET/4 WHITE RETRO STORAGE CUBES ,27558.210000000003,0.2799696000803839,12.860978120011763,A
SCOTTIE DOG HOT WATER BOTTLE,27481.47,0.27918998242342546,13.140168102435188,A
JUMBO BAG PINK VINTAGE PAISLEY,27121.76,0.27553561354950673,13.415703715984694,A
SMALL POPCORN HOLDER,27022.23,0.2745244675318227,13.690228183516517,A
WOOD BLACK BOARD ANT WHITE FINISH,26811.8,0.27238666529630323,13.96261484881282,A
WOODEN FRAME ANTIQUE WHITE ,26401.56,0.2682189516190733,14.230833800431892,A
JUMBO BAG PINK WITH WHITE SPOTS,26242.66,0.2666046533953217,14.497438453827213,A
JUMBO BAG SCANDINAVIAN PAISLEY,25878.77,0.26290781903005445,14.760346272857268,A
COLOUR GLASS. STAR T-LIGHT HOLDER,25868.47,0.2628031791829516,15.023149452040219,A
HEART OF WICKER LARGE,25673.910000000003,0.2608266035856382,15.283976055625857,A
RED TOADSTOOL LED NIGHT LIGHT,25588.56,0.2599595151438685,15.543935570769726,A
RED WOOLLY HOTTIE WHITE HEART.,25454.100000000002,0.2585935079747959,15.802529078744522,A
TEA TIME CAKE STAND IN GIFT BOX,25428.33,0.2583317051728697,16.06086078391739,A
ANTIQUE SILVER TEA GLASS ETCHED,25305.09,0.2570796843226799,16.31794046824007,A
JUMBO BAG RED WHITE SPOTTY ,25043.62,0.2544233560875363,16.572363824327606,A
PAPER BUNTING RETRO SPOTS,24933.940000000002,0.2533090941040179,16.825672918431625,A
DOOR MAT UNION FLAG,24770.81,0.251651822428495,17.07732474086012,A
PACK OF 72 RETRO SPOT CAKE CASES,24054.43,0.24437396867436562,17.321698709534488,A
LUNCH BAG  BLACK SKULL.,23936.93,0.2431802616807167,17.564878971215204,A
LOVE BUILDING BLOCK WORD,22920.53,0.23285444220544227,17.797733413420648,A
PLEASE ONE PERSON METAL SIGN,21725.370000000003,0.2207125626264685,18.018445976047115,A
BAKING SET 9 PIECE RETROSPOT ,21696.74,0.22042170448835643,18.23886768053547,A
RETRO SPOT TEA SET CERAMIC 11 PC ,21301.04,0.2164017057020852,18.455269386237557,A
PAPER CHAIN KIT RETRO SPOT,21151.79,0.21488544383993965,18.670154830077497,A
ROUND SNACK BOXES SET OF 4 FRUITS ,21065.190000000002,0.21400565638759927,18.884160486465095,A
LUNCH BAG CARS BLUE,20996.16,0.21330436622784113,19.097464852692937,A
BLACK HEART CARD HOLDER,20713.83,0.2104361169042931,19.30790096959723,A
LUNCH BAG SUKI  DESIGN ,20688.89,0.2101827462453858,19.518083715842618,A
WOOD S/3 CABINET ANT WHITE FINISH,20660.88,0.20989818681651684,19.727981902659135,A
EDWARDIAN PARASOL RED,20628.05,0.2095646600028871,19.93754656266202,A
LUNCH BAG WOODLAND,20599.95,0.20927918624525704,20.14682574890728,A
NATURAL SLATE HEART CHALKBOARD ,20431.640000000003,0.207569289869929,20.35439503877721,A
ROUND SNACK BOXES SET OF4 WOODLAND ,20383.86,0.20708388288987328,20.56147892166708,A
