ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-10,26927.669658269177,29140.201494727597,57903.67351553764,26927.669658269177,26927.669658269177,16472.123351538256,16472.123351538256,16472.123351538256,3220.0697175560717,3220.0697175560717,3220.0697175560717,13252.053633982183,13252.053633982183,13252.053633982183,0.0,0.0,0.0,43399.79300980743
2010-12-11,26928.455822223692,-12863.243697052325,18103.14623931661,26928.455822223692,26928.455822223692,-23630.19045175646,-23630.19045175646,-23630.19045175646,-35577.80974255634,-35577.80974255634,-35577.80974255634,11947.61929079987,11947.61929079987,11947.61929079987,0.0,0.0,0.0,3298.2653704672302
2010-12-12,26929.24198617821,15631.318225223253,45679.236081039744,26929.24198617821,26929.241986862395,3580.234789408799,3580.234789408799,3580.234789408799,-6985.0451948063,-6985.0451948063,-6985.0451948063,10565.279984215098,10565.279984215098,10565.279984215098,0.0,0.0,0.0,30509.47677558701
2010-12-13,26930.028150132726,33151.487903935325,62553.48590270825,26930.028149810554,26930.028154126216,20331.40408608412,20331.40408608412,20331.40408608412,11217.987964376145,11217.987964376145,11217.987964376145,9113.416121707978,9113.416121707978,9113.416121707978,0.0,0.0,0.0,47261.432236216846
2010-12-14,26930.814314087238,30144.843598529955,58934.12262960574,26930.814310497146,26930.814321106354,17768.47408542645,17768.47408542645,17768.47408542645,10165.728762524612,10165.728762524612,10165.728762524612,7602.7453229018365,7602.7453229018365,7602.7453229018365,0.0,0.0,0.0,44699.28839951369
2010-12-15,26931.600478041753,24466.93187439729,52433.173609134545,26931.60047006572,26931.600492046906,11393.399015394249,11393.399015394249,11393.399015394249,5347.216550277488,5347.216550277488,5347.216550277488,6046.182465116761,6046.182465116761,6046.182465116761,0.0,0.0,0.0,38324.999493436
2010-12-16,26932.38664199627,29318.355053010266,58011.642028154594,26932.38662844644,26932.38666230183,17070.4769781225,17070.4769781225,17070.4769781225,12611.851942557521,12611.851942557521,12611.851942557521,4458.625035564979,4458.625035564979,4458.625035564979,0.0,0.0,0.0,44002.86362011877
2010-12-17,26933.172805950788,19065.056795284865,48904.378307948435,26933.172785704,26933.172833801418,6076.7384338843285,6076.7384338843285,6076.7384338843285,3220.0697175143114,3220.0697175143114,3220.0697175143114,2856.6687163700176,2856.6687163700176,2856.6687163700176,0.0,0.0,0.0,33009.91123983511
2010-12-18,26933.9589699053,-22204.196672235634,6644.662329071388,26933.958942117162,26933.95900437643,-34319.54937721509,-34319.54937721509,-34319.54937721509,-35577.80974254307,-35577.80974254307,-35577.80974254307,1258.2603653279841,1258.2603653279841,1258.2603653279841,0.0,0.0,0.0,-7385.590407309788
2010-12-19,26934.745133859815,5727.175818135864,34269.45843477399,26934.745097854728,26934.74518058014,-7302.747605733131,-7302.747605733131,-7302.747605733131,-6985.045194800367,-6985.045194800367,-6985.045194800367,-317.7024109327648,-317.7024109327648,-317.7024109327648,0.0,0.0,0.0,19631.99752812668
2010-12-20,26935.53129781433,21942.799019618025,49528.92456420366,26935.53125060253,26935.531352925227,9366.173837247077,9366.173837247077,9366.173837247077,11217.9879643911,11217.9879643911,11217.9879643911,-1851.8141271440245,-1851.8141271440245,-1851.8141271440245,0.0,0.0,0.0,36301.705135061406
2010-12-21,26936.31746176885,18744.61897066458,48125.9934027934,26936.317405245707,26936.317525445935,6841.094440438352,6841.094440438352,6841.094440438352,10165.7287624928,10165.7287624928,10165.7287624928,-3324.634322054448,-3324.634322054448,-3324.634322054448,0.0,0.0,0.0,33777.4119022072
2010-12-22,26937.10362572336,12664.855294691732,42023.76843338058,26937.10356361031,26937.103703616092,630.0395482742219,630.0395482742219,630.0395482742219,5347.216550294415,5347.216550294415,5347.216550294415,-4717.177002020194,-4717.177002020194,-4717.177002020194,0.0,0.0,0.0,27567.14317399758
2010-12-23,26937.889789677876,17868.972661942425,46671.99201930403,26937.88971765662,26937.88987985558,6600.449488604662,6600.449488604662,6600.449488604662,12611.851942581705,12611.851942581705,12611.851942581705,-6011.4024539770435,-6011.4024539770435,-6011.4024539770435,0.0,0.0,0.0,33538.33927828254
2010-12-24,26938.67595363239,9758.597257882728,37082.619621466496,26938.67587138931,26938.676051689083,-3970.6272815879825,-3970.6272815879825,-3970.6272815879825,3220.069717563557,3220.069717563557,3220.069717563557,-7190.696999151541,-7190.696999151541,-7190.696999151541,0.0,0.0,0.0,22968.04867204441
2010-12-25,26939.462117586907,-30908.860689360463,-1214.367012759889,26939.462023520253,26939.462228450673,-43818.13617659377,-43818.13617659377,-43818.13617659377,-35577.80974254721,-35577.80974254721,-35577.80974254721,-8240.326434046565,-8240.326434046565,-8240.326434046565,0.0,0.0,0.0,-16878.674059006862
2010-12-26,26940.248281541422,-4273.282165588942,25623.509752325295,26940.248175148903,26940.248404287195,-16132.894704715569,-16132.894704715569,-16132.894704715569,-6985.045194762042,-6985.045194762042,-6985.045194762042,-9147.84950995353,-9147.84950995353,-9147.84950995353,0.0,0.0,0.0,10807.353576825853
2010-12-27,26941.034445495938,14482.767591687283,42336.10702235085,26941.034328070873,26941.034578849278,1314.5091446784643,1314.5091446784643,1314.5091446784643,11217.987964406057,11217.987964406057,11217.987964406057,-9903.478819727592,-9903.478819727592,-9903.478819727592,0.0,0.0,0.0,28255.543590174402
2010-12-28,26941.820609450453,11451.346676382032,40940.79290119826,26941.82048175033,26941.82075689,-334.6491000660117,-334.6491000660117,-334.6491000660117,10165.728762543962,10165.728762543962,10165.728762543962,-10500.377862609974,-10500.377862609974,-10500.377862609974,0.0,0.0,0.0,26607.17150938444
2010-12-29,26942.60677340497,7181.421582030179,35488.0615932466,26942.606633580544,26942.606935946682,-5587.668253815611,-5587.668253815611,-5587.668253815611,5347.2165502487815,5347.2165502487815,5347.2165502487815,-10934.884804064393,-10934.884804064393,-10934.884804064393,0.0,0.0,0.0,21354.938519589356
2010-12-30,26943.392937359487,14230.480871908981,42946.70172286834,26943.392784579402,26943.39310827151,1405.1964551723165,1405.1964551723165,1405.1964551723165,12611.85194253994,12611.85194253994,12611.85194253994,-11206.655487367623,-11206.655487367623,-11206.655487367623,0.0,0.0,0.0,28348.589392531805
2010-12-31,26944.179101314,3810.5997488499256,32877.66270340089,26944.178934683576,26944.179284177266,-8098.65081021075,-8098.65081021075,-8098.65081021075,3220.0697175430873,3220.0697175430873,3220.0697175430873,-11318.720527753838,-11318.720527753838,-11318.720527753838,0.0,0.0,0.0,18845.52829110325
2011-01-01,26944.965265268514,-34102.626378418776,-4819.412511401261,26944.96508200083,26944.96546116849,-46855.26350380268,-46855.26350380268,-46855.26350380268,-35577.809742556994,-35577.809742556994,-35577.809742556994,-11277.453761245682,-11277.453761245682,-11277.453761245682,0.0,0.0,0.0,-19910.298238534164
2011-01-02,26945.75142922303,-5142.733761577113,24097.008108256985,26945.751226031603,26945.7516403053,-18077.497052377246,-18077.497052377246,-18077.497052377246,-6985.045194739912,-6985.045194739912,-6985.045194739912,-11092.451857637334,-11092.451857637334,-11092.451857637334,0.0,0.0,0.0,8868.254376845784
2011-01-03,26946.537593177545,13194.135360099415,41238.05384316094,26946.537376068223,26946.53781968573,441.660499095649,441.660499095649,441.660499095649,11217.987964367883,11217.987964367883,11217.987964367883,-10776.327465272234,-10776.327465272234,-10776.327465272234,0.0,0.0,0.0,27388.198092273193
2011-01-04,26947.32375713206,12318.969623839177,41925.15079593546,26947.323524662752,26947.32399939489,-178.69199632422288,-178.69199632422288,-178.69199632422288,10165.728762523615,10165.728762523615,10165.728762523615,-10344.420758847838,-10344.420758847838,-10344.420758847838,0.0,0.0,0.0,26768.63176080784
2011-01-05,26948.109921086576,8259.890231095744,35895.32492035006,26948.109672804465,26948.110178166327,-4467.220086143881,-4467.220086143881,-4467.220086143881,5347.216550222963,5347.216550222963,5347.216550222963,-9814.436636366845,-9814.436636366845,-9814.436636366845,0.0,0.0,0.0,22480.889834942696
2011-01-06,26948.89608504109,16050.534327935626,43714.694609815386,26948.895822676437,26948.896361832925,3405.8349554621045,3405.8349554621045,3405.8349554621045,12611.851942569247,12611.851942569247,12611.851942569247,-9206.016987107143,-9206.016987107143,-9206.016987107143,0.0,0.0,0.0,30354.731040503197
2011-01-07,26949.682248995607,8286.76140565255,37026.050018408736,26949.681976607546,26949.682539362588,-5320.189646555849,-5320.189646555849,-5320.189646555849,3220.0697176136227,3220.0697176136227,3220.0697176136227,-8540.259364169471,-8540.259364169471,-8540.259364169471,0.0,0.0,0.0,21629.492602439757
2011-01-08,26950.468412950122,-30655.11682581886,-1068.8406717393473,26950.468129078443,26950.468718399898,-43417.004728672546,-43417.004728672546,-43417.004728672546,-35577.80974254374,-35577.80974254374,-35577.80974254374,-7839.194986128811,-7839.194986128811,-7839.194986128811,0.0,0.0,0.0,-16466.536315722424
2011-01-09,26951.254576904637,68.06066100428647,27690.109322810604,26951.25427468598,26951.254902641333,-14110.285409373282,-14110.285409373282,-14110.285409373282,-6985.045194772677,-6985.045194772677,-6985.045194772677,-7125.240214600604,-7125.240214600604,-7125.240214600604,0.0,0.0,0.0,12840.969167531355
2011-01-10,26952.040740859153,17579.25423178739,47034.27370189582,26952.040425829862,26952.04107899165,4797.351493011949,4797.351493011949,4797.351493011949,11217.987964414848,11217.987964414848,11217.987964414848,-6420.6364714029,-6420.6364714029,-6420.6364714029,0.0,0.0,0.0,31749.3922338711
2011-01-11,26952.826904813668,16773.951205549743,46286.95261434302,26952.82657589038,26952.827259139605,4418.834816866387,4418.834816866387,4418.834816866387,10165.728762503273,10165.728762503273,10165.728762503273,-5746.893945636886,-5746.893945636886,-5746.893945636886,0.0,0.0,0.0,31371.661721680055
2011-01-12,26953.613068768183,13084.113358375616,42021.669462858146,26953.612720326797,26953.61344223943,222.96216531378712,222.96216531378712,222.96216531378712,5347.216550282634,5347.216550282634,5347.216550282634,-5124.254384968846,-5124.254384968846,-5124.254384968846,0.0,0.0,0.0,27176.57523408197
2011-01-13,26954.3992327227,20031.008361793585,49427.25807087222,26954.398866769436,26954.3996155928,8040.664174964793,8040.664174964793,8040.664174964793,12611.851942563015,12611.851942563015,12611.851942563015,-4571.1877675982205,-4571.1877675982205,-4571.1877675982205,0.0,0.0,0.0,34995.06340768749
2011-01-14,26955.185396677214,11349.175474179363,39580.568228125536,26955.18501063616,26955.185802987246,-883.8670078428917,-883.8670078428917,-883.8670078428917,3220.069717641581,3220.069717641581,3220.069717641581,-4103.936725484473,-4103.936725484473,-4103.936725484473,0.0,0.0,0.0,26071.318388834323
2011-01-15,26955.97156063173,-28041.610295143706,977.8663018724668,26955.971157447617,26955.971984059164,-39313.93100444471,-39313.93100444471,-39313.93100444471,-35577.80974255069,-35577.80974255069,-35577.80974255069,-3736.1212618940262,-3736.1212618940262,-3736.1212618940262,0.0,0.0,0.0,-12357.959443812982
2011-01-16,26956.757724586245,2265.297014760865,31599.70606391505,26956.757307801192,26956.758159041055,-10463.459810136363,-10463.459810136363,-10463.459810136363,-6985.045194734353,-6985.045194734353,-6985.045194734353,-3478.4146154020086,-3478.4146154020086,-3478.4146154020086,0.0,0.0,0.0,16493.297914449882
2011-01-17,26957.54388854076,20771.686709182224,49820.79957089022,26957.543444642604,26957.54433758935,7879.688847335177,7879.688847335177,7879.688847335177,11217.987964397793,11217.987964397793,11217.987964397793,-3338.2991170626165,-3338.2991170626165,-3338.2991170626165,0.0,0.0,0.0,34837.232735875936
2011-01-18,26958.330052495276,19149.71198804668,48338.46396518782,26958.32959239966,26958.33052370317,6845.820136590951,6845.820136590951,6845.820136590951,10165.728762482926,10165.728762482926,10165.728762482926,-3319.9086258919756,-3319.9086258919756,-3319.9086258919756,0.0,0.0,0.0,33804.15018908623
2011-01-19,26959.11621644979,14059.338514476529,43486.36778236573,26959.11573846683,26959.116715501244,1923.254874413216,1923.254874413216,1923.254874413216,5347.216550237001,5347.216550237001,5347.216550237001,-3423.961675823785,-3423.961675823785,-3423.961675823785,0.0,0.0,0.0,28882.371090863006
2011-01-20,26959.902380404306,21588.73535067869,51336.97443208124,26959.90188381031,26959.90290482972,8964.06504631793,8964.06504631793,8964.06504631793,12611.851942587202,12611.851942587202,12611.851942587202,-3647.7868962692714,-3647.7868962692714,-3647.7868962692714,0.0,0.0,0.0,35923.967426722236
2011-01-21,26960.688544358818,11999.040063279574,39698.49955760975,26960.688030217018,26960.689088779545,-765.3699357927726,-765.3699357927726,-765.3699357927726,3220.0697176211074,3220.0697176211074,3220.0697176211074,-3985.4396534138805,-3985.4396534138805,-3985.4396534138805,0.0,0.0,0.0,26195.318608566045
2011-01-22,26961.474708313337,-27627.701610863045,2656.8333116427043,26961.474181466823,26961.475277074325,-40005.71601902397,-40005.71601902397,-40005.71601902397,-35577.809742557656,-35577.809742557656,-35577.809742557656,-4427.906276466316,-4427.906276466316,-4427.906276466316,0.0,0.0,0.0,-13044.24131071063
2011-01-23,26962.260872267852,1747.41521330767,30067.435626255457,26962.260329613306,26962.261457942845,-11948.434952406737,-11948.434952406737,-11948.434952406737,-6985.04519472842,-6985.04519472842,-6985.04519472842,-4963.389757678316,-4963.389757678316,-4963.389757678316,0.0,0.0,0.0,15013.825919861116
2011-01-24,26963.047036222368,17913.413650104936,45352.47223341872,26963.046469742654,26963.047636142288,5640.319445312469,5640.319445312469,5640.319445312469,11217.98796440253,11217.98796440253,11217.98796440253,-5577.668519090061,-5577.668519090061,-5577.668519090061,0.0,0.0,0.0,32603.36648153484
2011-01-25,26963.833200176883,16193.224912909416,44840.74543428549,26963.83261629276,26963.83384408399,3911.210973144974,3911.210973144974,3911.210973144974,10165.728762534085,10165.728762534085,10165.728762534085,-6254.517789389112,-6254.517789389112,-6254.517789389112,0.0,0.0,0.0,30875.044173321858
2011-01-26,26964.6193641314,11322.340299570906,39075.04034457207,26964.618762468097,26964.620025624517,-1628.9648404662298,-1628.9648404662298,-1628.9648404662298,5347.216550253926,5347.216550253926,5347.216550253926,-6976.181390720156,-6976.181390720156,-6976.181390720156,0.0,0.0,0.0,25335.65452366517
2011-01-27,26965.405528085914,17155.304784511245,47099.94111016495,26965.404908145596,26965.406205634776,4887.971594580781,4887.971594580781,4887.971594580781,12611.851942616508,12611.851942616508,12611.851942616508,-7723.8803480357265,-7723.8803480357265,-7723.8803480357265,0.0,0.0,0.0,31853.377122666694
2011-01-28,26966.19169204043,6688.069243847548,35793.72322814276,26966.191048427867,26966.192387498962,-5258.274025204763,-5258.274025204763,-5258.274025204763,3220.069717579348,3220.069717579348,3220.069717579348,-8478.34374278411,-8478.34374278411,-8478.34374278411,0.0,0.0,0.0,21707.917666835667
2011-01-29,26966.977855994945,-32421.8538026485,-3578.712394787559,26966.977182212646,26966.97857918753,-44798.15640923279,-44798.15640923279,-44798.15640923279,-35577.80974256461,-35577.80974256461,-35577.80974256461,-9220.346666668172,-9220.346666668172,-9220.346666668172,0.0,0.0,0.0,-17831.178553237845
2011-01-30,26967.764019949456,-3966.2986826798033,25186.20130039962,26967.763327615885,26967.764759994254,-16916.285200405386,-16916.285200405386,-16916.285200405386,-6985.0451947611855,-6985.0451947611855,-6985.0451947611855,-9931.2400056442,-9931.2400056442,-9931.2400056442,0.0,0.0,0.0,10051.47881954407
2011-01-31,26968.550183903975,12404.155395695061,41679.261682502285,26968.54946955318,26968.5509525037,624.5308622040491,624.5308622040491,624.5308622040491,11217.987964385475,11217.987964385475,11217.987964385475,-10593.457102181426,-10593.457102181426,-10593.457102181426,0.0,0.0,0.0,27593.081046108025
2011-02-01,26969.33634785849,11279.930849345275,40349.739885609844,26969.335616289914,26969.337144702477,-1025.2543321983999,-1025.2543321983999,-1025.2543321983999,10165.728762513741,10165.728762513741,10165.728762513741,-11190.98309471214,-11190.98309471214,-11190.98309471214,0.0,0.0,0.0,25944.08201566009
2011-02-02,26970.122511813006,6477.209503019159,35160.629351849464,26970.12175298717,26970.12333279302,-6362.55734412633,-6362.55734412633,-6362.55734412633,5347.216550270853,5347.216550270853,5347.216550270853,-11709.773894397182,-11709.773894397182,-11709.773894397182,0.0,0.0,0.0,20607.565167686676
2011-02-03,26970.908675767518,12892.797311119091,42691.531800188255,26970.907894594813,26970.909514599403,473.7386468427329,473.7386468427329,473.7386468427329,12611.851942534086,12611.851942534086,12611.851942534086,-12138.113295691353,-12138.113295691353,-12138.113295691353,0.0,0.0,0.0,27444.64732261025
2011-02-04,26971.694839722037,2998.918043728814,32308.039126461834,26971.694030623436,26971.6957070008,-9246.828865099134,-9246.828865099134,-9246.828865099134,3220.0697176498843,3220.0697176498843,3220.0697176498843,-12466.898582749018,-12466.898582749018,-12466.898582749018,0.0,0.0,0.0,17724.865974622902
2011-02-05,26972.481003676552,-35648.95660138579,-7336.842690137449,26972.480169814044,26972.481910322356,-48267.656875427245,-48267.656875427245,-48267.656875427245,-35577.809742551355,-35577.809742551355,-35577.809742551355,-12689.84713287589,-12689.84713287589,-12689.84713287589,0.0,0.0,0.0,-21295.175871750693
2011-02-06,26973.267167631067,-7807.717043570941,21423.98434873684,26973.26630692068,26973.268104703686,-19788.664062209096,-19788.664062209096,-19788.664062209096,-6985.045194739055,-6985.045194739055,-6985.045194739055,-12803.61886747004,-12803.61886747004,-12803.61886747004,0.0,0.0,0.0,7184.603105421971
2011-02-07,26974.05333158558,11147.46348737208,39890.904396491744,26974.052450198633,26974.054298563413,-1589.8639259475808,-1589.8639259475808,-1589.8639259475808,11217.987964400429,11217.987964400429,11217.987964400429,-12807.851890348009,-12807.851890348009,-12807.851890348009,0.0,0.0,0.0,25384.189405637997
2011-02-08,26974.839495540095,9885.367379678906,40439.46808218393,26974.838590220228,26974.840492314248,-2539.382446994934,-2539.382446994934,-2539.382446994934,10165.728762534878,10165.728762534878,10165.728762534878,-12705.111209529812,-12705.111209529812,-12705.111209529812,0.0,0.0,0.0,24435.457048545162
2011-02-09,26975.625659494614,4067.266228762977,34223.42338335471,26975.624729935775,26975.626683999893,-7153.5364355881275,-7153.5364355881275,-7153.5364355881275,5347.216550287779,5347.216550287779,5347.216550287779,-12500.752985875906,-12500.752985875906,-12500.752985875906,0.0,0.0,0.0,19822.089223906485
